,Kingdom,Phylum,Class,Order,Family,Genus,Q_HMPMockV1.1.Even1,Q_HMPMockV1.1.Even2,Q_HMPMockV1.2.Staggered1,Q_HMPMockV1.2.Staggered2,M_HMPMockV1.1.Even1,M_HMPMockV1.1.Even2,M_HMPMockV1.2.Staggered1,M_HMPMockV1.2.Staggered2,G_HMPMockV1.2.Staggered2,G_HMPMockV1.1.Even1,G_HMPMockV1.2.Staggered1,G_HMPMockV1.1.Even2
1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Unclassified,0,0,0,0,0,1,0,1,0,0,0,0
3,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Unclassified,0,0,0,0,1,0,0,0,0,0,0,0
4,Archaea,Euryarchaeota,Unclassified,Unclassified,Unclassified,Unclassified,0,0,0,0,0,0,0,0,0,40,397,60
11,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,0,0,0,0,0,0,0,0,1,221,1,454
7,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Unclassified,0,0,0,0,13,25,0,0,0,0,0,0
12,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,0,0,0,0,0,0,0,0,0,1,0,6
8,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Unclassified,0,0,0,0,0,1,0,0,0,0,0,0
9,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,0,5,0,0,0,0,0,0,0,0,0,0
10,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Unclassified,0,0,0,0,1,4,0,0,0,0,0,0
5,Bacteria,Actinobacteria,Actinobacteria,Unclassified,Unclassified,Unclassified,0,0,0,0,46,93,0,1,0,0,0,0
13,Bacteria,Actinobacteria,Unclassified,Unclassified,Unclassified,Unclassified,0,0,0,0,0,2,0,0,0,0,0,0
16,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0,0,0,0,1,2,0,1,0,522,0,0
17,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Unclassified,Unclassified,0,0,0,0,15,33,0,0,0,0,0,0
18,Bacteria,Bacteroidetes,Bacteroidia,Unclassified,Unclassified,Unclassified,0,0,0,0,109,184,0,1,0,0,0,0
15,Bacteria,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,0,0,0,0,0,1,0,0,0,0,0,0
19,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Unclassified,0,0,0,0,92,86,0,1,0,0,0,0
21,Bacteria,Deinococcus-Thermus,Deinococci,Unclassified,Unclassified,Unclassified,0,0,0,0,15,19,0,0,0,0,0,0
28,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Unclassified,0,0,0,0,0,1,0,0,0,0,0,0
29,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,0,0,0,0,0,0,1,0,0,0,0,0
30,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Unclassified,0,0,0,0,230,493,210,263,0,0,0,0
26,Bacteria,Firmicutes,Bacilli,Bacillales,Unclassified,Unclassified,0,0,0,0,1545,3036,1305,1514,0,0,0,0
34,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Isobaculum,0,0,0,0,0,1,0,0,0,0,0,0
33,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Unclassified,0,0,0,0,0,1,0,0,0,0,0,0
37,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,0,0,0,0,0,3,0,0,0,0,0,0
35,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Unclassified,0,0,0,0,0,3,0,0,0,0,0,0
40,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,0,0,0,0,0,0,1,0,0,0,1,1
41,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,0,0,0,0,0,0,0,0,0,148,0,0
42,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Unclassified,0,0,0,0,122,278,17,12,0,0,0,0
39,Bacteria,Firmicutes,Bacilli,Lactobacillales,Unclassified,Unclassified,0,0,0,0,513,979,584,563,0,0,0,0
32,Bacteria,Firmicutes,Bacilli,Unclassified,Unclassified,Unclassified,0,0,0,0,1221,2366,1035,1361,0,0,0,0
