Kingdom,Phylum,Class,Order,Family,Sample,Expected
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,HMPMockV1.1.Even1,0.095238096
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,HMPMockV1.1.Even1,0.142857144
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacterales,HMPMockV1.1.Even1,0.047619048
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,HMPMockV1.1.Even1,0.047619048
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,HMPMockV1.1.Even1,0.047619048
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,HMPMockV1.1.Even2,0.047619048
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,HMPMockV1.1.Even2,0.047619048
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,HMPMockV1.1.Even2,0.047619048
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,HMPMockV1.1.Even2,0.047619048
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,HMPMockV1.1.Even2,0.047619048
